,nr,name,y,x,google map
464,465,Valdeconejos,41.768692,-5.707399,"http://maps.google.com/maps?ll=41.768692,-5.707399&spn=0.01,0.01&t=h&q=41.768692,-5.707399"
465,466,Lozacio,41.699935,-5.789636,"http://maps.google.com/maps?ll=41.699935,-5.789636&spn=0.01,0.01&t=h&q=41.699935,-5.789636"
466,467,Udías,43.338333,-4.246941,"http://maps.google.com/maps?ll=43.338333,-4.246941&spn=0.01,0.01&t=h&q=43.338333,-4.246941"
467,468,Vialas,44.33444,3.89667,"http://maps.google.com/maps?ll=44.33444,3.89667&spn=0.01,0.01&t=h&q=44.33444,3.89667"
468,469,Villefranche-de-Rouergue,44.353333,2.035,"http://maps.google.com/maps?ll=44.353333,2.035&spn=0.01,0.01&t=h&q=44.353333,2.035"
469,470,Wadi Amram,29.651714,34.937005,"http://maps.google.com/maps?ll=29.651714,34.937005&spn=0.01,0.01&t=h&q=29.651714,34.937005"
470,471,Timna,29.787778,34.988889,"http://maps.google.com/maps?ll=29.787778,34.988889&spn=0.01,0.01&t=h&q=29.787778,34.988889"
471,472,Faynan,30.627084,35.493837,"http://maps.google.com/maps?ll=30.627084,35.493837&spn=0.01,0.01&t=h&q=30.627084,35.493837"
472,473,Baramiya,0.0,0.0,"http://maps.google.com/maps?ll=0.0,0.0&spn=0.01,0.01&t=h&q=0.0,0.0"
473,474,Bukhalug,0.0,0.0,"http://maps.google.com/maps?ll=0.0,0.0&spn=0.01,0.01&t=h&q=0.0,0.0"
474,475,Sukkari,24.949286,34.716337,"http://maps.google.com/maps?ll=24.949286,34.716337&spn=0.01,0.01&t=h&q=24.949286,34.716337"
475,476,Siqdit,0.0,0.0,"http://maps.google.com/maps?ll=0.0,0.0&spn=0.01,0.01&t=h&q=0.0,0.0"
476,477,Abu Zawal,26.666667,33.233333,"http://maps.google.com/maps?ll=26.666667,33.233333&spn=0.01,0.01&t=h&q=26.666667,33.233333"
477,478,Atalla,0.0,0.0,"http://maps.google.com/maps?ll=0.0,0.0&spn=0.01,0.01&t=h&q=0.0,0.0"
